Step,AgentID,X,Y,velocity,current_lane
25,10,12.4,150.0,[0.5 0. ],1
25,11,0.0,150.0,[0.5 0. ],1
25,12,0.0,150.0,[0.5 0. ],1
25,13,0.0,150.0,[0.5 0. ],1
25,14,0.0,150.0,[0.5 0. ],1
25,15,0.0,150.0,[0.5 0. ],1
25,16,0.0,150.0,[0.5 0. ],1
25,17,0.0,150.0,[0.5 0. ],1
25,18,0.0,150.0,[0.5 0. ],1
25,19,0.0,150.0,[0.5 0. ],1
26,0,12.9,50.0,[0.4272 0.    ],0
26,1,0.0,50.0,[0.5 0. ],0
26,2,0.0,50.0,[0.5 0. ],0
26,3,0.0,50.0,[0.5 0. ],0
26,4,0.0,50.0,[0.5 0. ],0
26,5,0.0,50.0,[0.5 0. ],0
26,6,0.0,50.0,[0.5 0. ],0
26,7,0.0,50.0,[0.5 0. ],0
26,8,0.0,50.0,[0.5 0. ],0
26,9,0.0,50.0,[0.5 0. ],0
26,10,12.9,150.0,[0.5 0. ],1
26,11,0.0,150.0,[0.5 0. ],1
26,12,0.0,150.0,[0.5 0. ],1
26,13,0.0,150.0,[0.5 0. ],1
26,14,0.0,150.0,[0.5 0. ],1
26,15,0.0,150.0,[0.5 0. ],1
26,16,0.0,150.0,[0.5 0. ],1
26,17,0.0,150.0,[0.5 0. ],1
26,18,0.0,150.0,[0.5 0. ],1
26,19,0.0,150.0,[0.5 0. ],1
27,0,13.4,50.0,[0.4272 0.    ],0
27,1,0.0,50.0,[0.5 0. ],0
27,2,0.0,50.0,[0.5 0. ],0
27,3,0.0,50.0,[0.5 0. ],0
27,4,0.0,50.0,[0.5 0. ],0
27,5,0.0,50.0,[0.5 0. ],0
27,6,0.0,50.0,[0.5 0. ],0
27,7,0.0,50.0,[0.5 0. ],0
27,8,0.0,50.0,[0.5 0. ],0
27,9,0.0,50.0,[0.5 0. ],0
27,10,13.4,150.0,[0.5 0. ],1
27,11,0.0,150.0,[0.5 0. ],1
27,12,0.0,150.0,[0.5 0. ],1
27,13,0.0,150.0,[0.5 0. ],1
27,14,0.0,150.0,[0.5 0. ],1
27,15,0.0,150.0,[0.5 0. ],1
27,16,0.0,150.0,[0.5 0. ],1
27,17,0.0,150.0,[0.5 0. ],1
27,18,0.0,150.0,[0.5 0. ],1
27,19,0.0,150.0,[0.5 0. ],1
28,0,13.9,50.0,[0.4272 0.    ],0
28,1,0.0,50.0,[0.5 0. ],0
28,2,0.0,50.0,[0.5 0. ],0
28,3,0.0,50.0,[0.5 0. ],0
28,4,0.0,50.0,[0.5 0. ],0
28,5,0.0,50.0,[0.5 0. ],0
28,6,0.0,50.0,[0.5 0. ],0
28,7,0.0,50.0,[0.5 0. ],0
28,8,0.0,50.0,[0.5 0. ],0
28,9,0.0,50.0,[0.5 0. ],0
28,10,13.9,150.0,[0.5 0. ],1
28,11,0.0,150.0,[0.5 0. ],1
28,12,0.0,150.0,[0.5 0. ],1
28,13,0.0,150.0,[0.5 0. ],1
28,14,0.0,150.0,[0.5 0. ],1
28,15,0.0,150.0,[0.5 0. ],1
28,16,0.0,150.0,[0.5 0. ],1
28,17,0.0,150.0,[0.5 0. ],1
